2019-09-27 14:28:56,030 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-10-02 10:34:43,940 INFO  [Timer-0] - [analytics] - 2886.45,2886.26,2886.26
2019-10-02 10:35:13,997 INFO  [Timer-0] - [analytics] - 2886.26,2885.37,2885.37
2019-10-02 10:35:43,870 INFO  [Timer-0] - [analytics] - 2885.37,2884.95,2884.95
2019-10-02 10:36:13,935 INFO  [Timer-0] - [analytics] - 2884.95,2883.91,2883.91
2019-10-02 10:36:43,808 INFO  [Timer-0] - [analytics] - 2884.32,2883.91,2884.32
2019-10-02 10:37:14,006 INFO  [Timer-0] - [analytics] - 2884.32,2883.68,2883.68
2019-10-02 10:37:43,949 INFO  [Timer-0] - [analytics] - 2884.85,2883.68,2884.85
2019-10-02 10:38:13,929 INFO  [Timer-0] - [analytics] - 2885.32,2884.85,2885.32
2019-10-02 10:38:43,894 INFO  [Timer-0] - [analytics] - 2886.15,2885.32,2886.15
2019-10-02 10:39:13,997 INFO  [Timer-0] - [analytics] - 2887.01,2886.15,2887.01
2019-10-02 10:39:44,001 INFO  [Timer-0] - [analytics] - 2887.69,2887.01,2887.69
2019-10-02 10:40:13,950 INFO  [Timer-0] - [analytics] - 2887.69,2887.5,2887.5
2019-10-02 10:40:43,875 INFO  [Timer-0] - [analytics] - 2887.5,2887.26,2887.26
2019-10-02 10:41:13,993 INFO  [Timer-0] - [analytics] - 2887.59,2887.26,2887.59
2019-10-02 10:41:43,893 INFO  [Timer-0] - [analytics] - 2888.21,2887.59,2888.21
2019-10-02 10:42:13,939 INFO  [Timer-0] - [analytics] - 2888.42,2888.21,2888.42
2019-10-02 10:42:43,952 INFO  [Timer-0] - [analytics] - 2888.45,2888.42,2888.45
2019-10-02 10:43:13,898 INFO  [Timer-0] - [analytics] - 2888.45,2888.37,2888.37
2019-10-02 10:43:43,954 INFO  [Timer-0] - [analytics] - 2888.37,2888.26,2888.26
2019-10-02 10:44:13,908 INFO  [Timer-0] - [analytics] - 2888.26,2887.82,2887.82
2019-10-02 10:44:43,931 INFO  [Timer-0] - [analytics] - 2887.99,2887.82,2887.99
2019-10-02 10:45:13,816 INFO  [Timer-0] - [analytics] - 2888.22,2887.99,2888.22
2019-10-02 10:45:43,809 INFO  [Timer-0] - [analytics] - 2889.05,2888.22,2889.05
2019-10-02 10:46:13,809 INFO  [Timer-0] - [analytics] - 2889.05,2888.58,2888.58
2019-10-02 10:46:43,805 INFO  [Timer-0] - [analytics] - 2888.58,2888.2,2888.2
2019-10-02 10:47:13,802 INFO  [Timer-0] - [analytics] - 2888.26,2888.2,2888.26
2019-10-04 11:31:28,183 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-10-04 11:31:28,183 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-10-04 11:31:28,184 INFO  [Timer-0] - [analytics] - 2910.63 ,2918.56 ,2939.04
2019-10-04 11:31:28,189 INFO  [Timer-0] - [analytics] - 2936.64,2936.64,2936.64
2019-10-04 11:31:58,170 INFO  [Timer-0] - [analytics] - 2936.85,2936.64,2936.85
2019-10-04 11:32:27,848 INFO  [Timer-0] - [analytics] - 2936.85,2936.77,2936.77
2019-10-04 11:32:58,130 INFO  [Timer-0] - [analytics] - 2936.77,2936.66,2936.66
